Date,Time,TimeUTC,Latitude,Longitude,WxCond,Roadtype,Light,Fatalities,Injuries,County,totalindex,radarmode
12/9/2012 0:00,1330,1830,41.69822811,-85.95633679,SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,1,p
12/10/2012 0:00,1437,1937,41.69954758,-85.69053912,SNOW,STATE ROAD,DAYLIGHT,0,0,Elkhart,4,c
12/10/2012 0:00,1510,2010,41.68999353,-85.96405147,BLOWING SAND/SOIL/SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,6,c
12/10/2012 0:00,1527,2027,41.56618531,-85.8030581,SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,9,c
12/10/2012 0:00,2035,2535,41.61271731,-85.89589422,SNOW,LOCAL/CITY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,20,c
12/10/2012 0:00,2350,2850,41.60596848,-86.06063354,SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,25,c
12/11/2012 0:00,439,939,41.63764801,-85.92619562,SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,30,c
12/11/2012 0:00,502,1002,41.66790939,-85.89061567,BLOWING SAND/SOIL/SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,31,c
12/11/2012 0:00,512,1012,41.66738038,-85.83240708,BLOWING SAND/SOIL/SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,32,c
12/11/2012 0:00,515,1015,41.65197458,-85.94089938,SNOW,US ROUTE,DARK (LIGHTED),0,0,Elkhart,33,c
12/11/2012 0:00,518,1018,41.509648,-85.834064,SNOW,STATE ROAD,DARK (NOT LIGHTED),0,2,Elkhart,34,c
12/11/2012 0:00,525,1025,41.56920522,-85.80699918,SNOW,LOCAL/CITY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,35,c
12/11/2012 0:00,526,1026,41.65946449,-86.03297121,SNOW,US ROUTE,DARK (NOT LIGHTED),0,2,Elkhart,36,c
12/11/2012 0:00,532,1032,41.64136774,-85.85986934,BLOWING SAND/SOIL/SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,37,c
12/11/2012 0:00,535,1035,41.6023628,-85.8680671,SNOW,US ROUTE,DARK (LIGHTED),0,1,Elkhart,39,c
12/11/2012 0:00,540,1040,41.55104578,-85.83425017,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,40,c
12/11/2012 0:00,545,1045,41.6596354,-85.98476829,SNOW,LOCAL/CITY ROAD,DARK (LIGHTED),0,0,Elkhart,41,c
12/11/2012 0:00,550,1050,41.66739967,-85.82940153,SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,42,c
12/11/2012 0:00,553,1053,41.67717361,-85.92494964,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,43,c
12/11/2012 0:00,556,1056,41.69085948,-85.69643482,SNOW,STATE ROAD,DARK (NOT LIGHTED),0,0,Elkhart,44,c
12/11/2012 0:00,559,1059,41.58640189,-85.83924375,SNOW,LOCAL/CITY ROAD,DARK (LIGHTED),0,0,Elkhart,45,c
12/11/2012 0:00,630,1130,41.66780748,-85.89028758,SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,47,c
12/11/2012 0:00,700,1200,41.55645338,-85.71297345,SNOW,COUNTY ROAD,UNKNOWN,0,0,Elkhart,49,c
12/11/2012 0:00,710,1210,41.66300295,-85.8976593,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,50,c
12/11/2012 0:00,800,1300,41.659488,-85.915264,SNOW,COUNTY ROAD,DAWN/DUSK,0,0,Elkhart,52,c
12/11/2012 0:00,810,1310,41.714544,-85.888592,SNOW,COUNTY ROAD,DAYLIGHT,0,0,Elkhart,53,c
12/11/2012 0:00,854,1354,41.702976,-85.903032,SNOW,COUNTY ROAD,DAYLIGHT,0,0,Elkhart,54,c
12/11/2012 0:00,905,1405,41.69315152,-85.97168563,BLOWING SAND/SOIL/SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,55,c
12/18/2012 0:00,1545,2045,41.608544,-85.886896,BLOWING SAND/SOIL/SNOW,COUNTY ROAD,DAYLIGHT,0,1,Elkhart,57,p
12/18/2012 0:00,1705,2205,41.65055616,-85.93975532,BLOWING SAND/SOIL/SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,1,Elkhart,58,p
12/20/2012 0:00,2131,2631,41.63956523,-85.68617106,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,1,Elkhart,60,p
12/21/2012 0:00,628,1128,41.73667908,-85.79808044,SNOW,US ROUTE,DARK (NOT LIGHTED),0,0,Elkhart,73,p
12/21/2012 0:00,645,1145,41.52241723,-85.98211302,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,76,p
12/21/2012 0:00,711,1211,41.53618826,-85.99653752,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,81,p
12/21/2012 0:00,716,1216,41.652848,-85.972896,SNOW,COUNTY ROAD,DARK (NOT LIGHTED),0,0,Elkhart,83,p
12/21/2012 0:00,733,1233,41.63866868,-85.73990451,BLOWING SAND/SOIL/SNOW,COUNTY ROAD,DAWN/DUSK,0,1,Elkhart,87,p
12/21/2012 0:00,740,1240,41.63597502,-85.73438813,SNOW,COUNTY ROAD,DAWN/DUSK,1,0,Elkhart,89,p
12/21/2012 0:00,809,1309,41.58426417,-85.73310262,SNOW,COUNTY ROAD,DAWN/DUSK,0,0,Elkhart,93,p
12/21/2012 0:00,1055,1555,41.58628637,-85.84532245,SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,101,p
12/21/2012 0:00,1142,1642,41.55159026,-85.81843654,SNOW,LOCAL/CITY ROAD,DAYLIGHT,0,0,Elkhart,104,p
